┌────────┬──────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │     name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
│     58 │   MADSEN │      3 │      6 │     first_order │           6.16e-01 │              1.90e-02 │           1.42e-08 │             3.57e-06 │  first_order │        6.16e-01 │           5.00e-03 │        6.29e-09 │          0.00e+00 │
│     59 │   POLAK6 │      5 │      4 │     first_order │          -4.40e+01 │              1.96e-01 │           1.59e-05 │             3.28e-11 │  first_order │       -4.40e+01 │           2.76e-01 │        3.33e-08 │          0.00e+00 │
│     60 │     HS78 │      5 │      3 │     first_order │          -2.92e+00 │              1.00e-03 │           5.40e-08 │             1.19e-07 │  first_order │       -2.92e+00 │           2.00e-03 │        7.96e-12 │          5.56e-12 │
│     61 │     HS90 │      4 │      1 │     first_order │           1.36e+00 │              1.94e-01 │           2.64e-12 │             2.44e-06 │  first_order │        1.36e+00 │           1.40e-02 │        9.92e-06 │          0.00e+00 │
│     62 │     HS11 │      2 │      1 │     first_order │          -8.50e+00 │              1.00e-03 │           1.47e-12 │             5.91e-06 │  first_order │       -8.50e+00 │           2.00e-03 │        9.29e-10 │          0.00e+00 │
│     63 │     HS29 │      3 │      1 │     first_order │          -2.26e+01 │              4.00e-03 │           1.48e-09 │             7.53e-08 │  first_order │       -2.26e+01 │           2.00e-03 │        1.84e-11 │          0.00e+00 │
│     64 │ S316-322 │      2 │      1 │     first_order │           3.34e+02 │              1.00e-03 │           3.12e-12 │             3.55e-08 │  first_order │        3.34e+02 │           9.00e-03 │        7.19e-11 │          5.55e-17 │
│     65 │      FLT │      2 │      2 │     first_order │          -5.43e-36 │              0.00e+00 │           3.13e-10 │             1.44e-18 │      unknown │        0.00e+00 │           1.90e-02 │        1.12e+35 │          4.51e-06 │
│     66 │   POLAK1 │      3 │      2 │     first_order │           2.72e+00 │              1.70e-02 │           6.87e-11 │             2.36e-06 │  first_order │        2.72e+00 │           2.00e-03 │        1.84e-11 │          0.00e+00 │
│     67 │    SNAKE │      2 │      2 │     first_order │           2.60e-08 │              2.70e+02 │           1.51e-07 │             2.17e-12 │  first_order │       -1.96e-04 │           3.00e-03 │        1.82e-11 │          0.00e+00 │
│     68 │     HS92 │      6 │      1 │     first_order │           1.36e+00 │              2.16e-01 │           6.08e-12 │             2.44e-06 │  first_order │        1.36e+00 │           1.30e-02 │        2.11e-09 │          0.00e+00 │
│     69 │ MINMAXRB │      3 │      4 │     first_order │           8.21e-16 │              1.40e-02 │           2.48e-09 │             1.80e-08 │  first_order │        7.37e-06 │           3.00e-03 │        1.84e-11 │          0.00e+00 │
│     70 │  MAKELA1 │      3 │      2 │     first_order │          -1.41e+00 │              2.00e-03 │           7.98e-13 │             2.07e-09 │  first_order │       -1.41e+00 │           4.00e-03 │        7.92e-07 │          0.00e+00 │
│     71 │     HS51 │      5 │      3 │     first_order │           1.24e-26 │              0.00e+00 │           1.03e-09 │             3.10e-13 │  first_order │        0.00e+00 │           1.00e-03 │        2.22e-16 │          0.00e+00 │
